Nombre de catálogo,Nombre de categoría,Nombre de artículo,Descripción de artículo,Artículo - Unidad de medida principal,Artículo - Permite stock,Estado de artículo,PK_PZASTARIMA,PZAS/PAQUETE
DESECHABLES,ALIMENTOS,8JLMX,TAPA DART 8  100 PZAS,PAQUETE,Y,Activo,2500,10
DESECHABLES,ALIMENTOS,8JY8,VASO DART 8  25 PZAS,PAQUETE,Y,Activo,2500,100
DESECHABLES,ALIMENTOS,ALKMOD010,ROLLO DE PAPEL ALUMINIO MODELO 10 ALUKINGS 1 CAJA/24 PZAS,PIEZA,Y,Activo,,1
DESECHABLES,ALIMENTOS,ALKMOD010-CJ24,ALKMOD010-CJ ROLLO DE PAPEL ALUMINIO MODELO 10 ALUKINGS 24 PIEZAS,CAJA,Y,Activo,,
DESECHABLES,ALIMENTOS,ALKMOD010-PQ12,ALKMOD010-PQ12 ROLLO DE PAPEL ALUMINIO MODELO 10 ALUKINGS 12 PIEZAS,PAQUETE,Y,Activo,,
DESECHABLES,ALIMENTOS,ALKMOD010-PQ2,ALKMOD010-PQ2 ROLLO DE PAPEL ALUMINIO MODELO 10 ALUKINGS 2 PIEZAS,PAQUETE,Y,Activo,,
DESECHABLES,ALIMENTOS,ALKMOD010-PQ6,ALKMOD010-PQ6 ROLLO DE PAPEL ALUMINIO MODELO 10 ALUKINGS 6 PIEZAS,PAQUETE,Y,Activo,,
DESECHABLES,ALIMENTOS,ALKMOD010-PZ,ALKMOD010-PZ ROLLO DE PAPEL ALUMINIO MODELO 10 ALUKINGS 1 PIEZA,PIEZA,Y,Activo,,
DESECHABLES,ALIMENTOS,CH007,CHAROLA TERMICA 007 REYMA 10 PAQ/50 PZAS,PAQUETE,Y,Activo,250,1
DESECHABLES,ALIMENTOS,CH007BIO,CHAROLA TERMICA BIODEGRADABLE 007 REYMA 50 PZ,PAQUETE,Y,Activo,,1
DESECHABLES,ALIMENTOS,CH007BIO-PQ500,CH007BIO-PQ500 CHAROLA TERMICA BIODEGRADABLE 007 REYMA 10 PAQUETES DE 50 PIEZAS / 500 PZS,PAQUETE,Y,Activo,,
DESECHABLES,ALIMENTOS,CH066MABIO,CHAROLA TERMICA BIODEGRADABLE 66 MARIEL 10 PAQ/50 PZAS,PAQUETE,Y,Activo,,1
DESECHABLES,ALIMENTOS,CH066MABIO-PQ500,CH066MABIO-PQ500 CHAROLA TERMICA BIODEGRADABLE 66 MARIEL 10 PAQUETES DE 50 PIEZAS / 500 PZS,PAQUETE,Y,Activo,,
DESECHABLES,ALIMENTOS,CH855MA,CHAROLA TERMICA 855 MARIEL PAQ CON 50 PZAS,PAQUETE,Y,Activo,250,1
DESECHABLES,ALIMENTOS,CH855MA-PQ500,CH855MA-PQ500 CHAROLA TERMICA 855 MARIEL 10 PAQ/50 PZAS,PAQUETE,Y,Activo,,500
DESECHABLES,ALIMENTOS,CH855MABIO,CHAROLA TERMICA BIODEGRADABLE 855 MARIEL PAQ CON 50 PZAS,PAQUETE,Y,Activo,,1
DESECHABLES,ALIMENTOS,CH855MABIO-PQ500,CH855MABIO-PQ500 CHAROLA TERMICA BIODEGRADABLE 855 MARIEL 10 PAQUETES DE 50 PZAS / 500 PZS,PAQUETE,Y,Activo,,
DESECHABLES,ALIMENTOS,CN7X7L4PBIO,CONTENEDOR TERMICO BIODEGRADABLE 7X7 LISO REYMA 4 PAQ/50 PZAS,PAQUETE,Y,Activo,,1
DESECHABLES,ALIMENTOS,CN7X7L4PBIO-PQ200,CN7X7L4PBIO-PQ200 CONTENEDOR TERMICO BIODEGRADABLE 7X7 LISO REYMA 4 PAQUETES DE 50 PZAS / 200 PZS,PAQUETE,Y,Activo,,
DESECHABLES,ALIMENTOS,CN8X8D4PBIO,CONTENEDOR TÉRMICO BIO 8X8 DIVISION PAQUETE CON 50 PZ,PAQUETE,Y,Activo,,1
DESECHABLES,ALIMENTOS,CN8X8D4PBIO-PQ200,CN8X8D4PBIO-PQ200 CONTENEDOR TÉRMICO BIO 8X8 DIVISION 4 PAQUETES DE 50 PIEZAS / 200 PIEZAS,PAQUETE,Y,Activo,,
DESECHABLES,ALIMENTOS,CN9X9L4PBIO,CONTENEDOR TERMICO BIODEGRADABLE 9X9 LISO REYMA,PAQUETE,Y,Activo,40,1
DESECHABLES,ALIMENTOS,CNH10P,CONTENEDOR TERMICO P/HAMBURGUESA REYMA 50 PZAS,PAQUETE,Y,Activo,,1
DESECHABLES,ALIMENTOS,CNH10P-PQ500,CNH10P-PQ500 CONTENEDOR TERMICO P/HAMBURGUESA REYMA 10 PAQUETES DE 50 PIEZAS / 500 PZS,PAQUETE,Y,Activo,,
DESECHABLES,ALIMENTOS,CNHD,CONTENEDOR TERMICO P/HOT DOG REYMA 125 PZAS,PAQUETE,Y,Activo,,1
DESECHABLES,ALIMENTOS,CNHD-PQ500,CNHD-PQ500 CONTENEDOR TERMICO P/HOT DOG REYMA 4 PAQUETES DE 125 PIEZAS / 500 PZS,PAQUETE,Y,Activo,,
DESECHABLES,ALIMENTOS,CNTBGZ9X6GEN,CONTENEDOR FIBRAS BAGAZO 9X6 PULG GENERICO,PAQUETE,Y,Activo,84,1
DESECHABLES,ALIMENTOS,CNTBGZ9X6GEN-CJ,CNTBGZ9X6GEN-CJ CONTENEDOR FIBRAS BAGAZO 9X6 PULG GENERICO 2 PAQUETES DE 100 PZS / 200 PIEZAS,CAJA,Y,Activo,,
DESECHABLES,ALIMENTOS,CP1,CUCHARA PLASTICA PASTELERA NO 1  50 pz,PAQUETE,Y,Activo,,1
DESECHABLES,ALIMENTOS,CP1-PQ1000,CP1-PQ1000 CUCHARA PLASTICA PASTELERA NO 1 50 pz,PAQUETE,Y,Activo,,
DESECHABLES,ALIMENTOS,CP1-PQ3000,CP1-PQ3000 CUCHARA PLASTICA PASTELERA NUM1 60 PAQUETES DE 50 PIEZAS / 3000 PZAS,PAQUETE,Y,Activo,,
DESECHABLES,ALIMENTOS,CP1-PQ500,CP1-PQ500 CUCHARA PLASTICA PASTELERA NO 1 50 pz,PAQUETE,Y,Activo,,
DESECHABLES,ALIMENTOS,ENV1/2LTR,ENVASE POLIPRO 1/2 LITRO REYMA 25 PZAS,PAQUETE,Y,Activo,0,1
DESECHABLES,ALIMENTOS,ENV1/2LTR-PQ500,ENV1/2LTR-PQ500 ENVASE POLIPRO 44228 LITRO REYMA 20 PAQUETES DE 25 PIEZAS / 500 PZS,PAQUETE,Y,Activo,,
DESECHABLES,ALIMENTOS,ENV1LTR,ENVASE POLIPRO 1 LITRO REYMA  25 PZAS,PAQUETE,Y,Activo,,1
DESECHABLES,ALIMENTOS,ENV1LTR-PQ500,ENV1LTR-PQ500 ENVASE POLIPRO 1 LITRO REYMA 20 PAQUETES DE 25 PIEZAS / 500 PZS,PAQUETE,Y,Activo,,
DESECHABLES,ALIMENTOS,KIT_VP10/TP10-CJ,VP10/TP10-CJ Pack 1000 vasos vp10 + 1000 tapas para vaso vp10 Reyma,KIT,Y,Activo,,
DESECHABLES,ALIMENTOS,KIT_VP12EU/TPDEU-CJ,VP12EU/TPDEU-CJ Pack 1000 vasos V12EU + 1000 Tapas para vaso V12EU,KIT,Y,Activo,,
DESECHABLES,ALIMENTOS,KIT_VP32EU/TP32EUR-CJ,VP32EU/TP32EUR-CJ Pack 500 vasos 32EU + 500 tapas 32EU Reyma,KIT,Y,Activo,,
DESECHABLES,ALIMENTOS,KIT_VP8/TP4A8-CJ,VP8/TP4A8-CJ Pack 1000 vasos vp8 + 1000 tapas para vaso vp8 Reyma,KIT,Y,Activo,,
DESECHABLES,ALIMENTOS,KIT_VT10/TVT10-CJ,VT10/TVT10-CJ VASO TERMICO NO10 1000 VASOS VT10 + 1000 TAPAS TVT10 REYMA,KIT,Y,Activo,,
DESECHABLES,ALIMENTOS,KIT_VT1LT/TVT1LTR-CJ,VT1LT/TVT1LTR-CJ VASO TERMICO NO10 300 VASOS VT1LT + 300 TAPAS TVT1LTR REYMA,KIT,Y,Activo,,
DESECHABLES,ALIMENTOS,PH8BIO,PLATO TERMICO BIODEGRADABLE PH8 REYMA 20 PAQ/25 PZAS,PAQUETE,Y,Activo,,1
