Nombre de artículo,Descripción de artículo,Subinventario,Cantidad,Artículo - Unidad de medida principal,Organización de inventario,Ubicación de inventario de localizador
1001-BS-PQ100,1001-BS-PQ100 BOLSA STAND UP POUCH CIERRE TRANSPARENTE 500 G,PRIME,3,PAQUETE,AMAZON,
1002-BS,BOLSA STAND UP POUCH CIERRE TRANSPARENTE 140 GR,INV PSD,200,PIEZA,PSD_CAT,EST.A.03.C
1002-BS-PQ100,1002-BS-PQ100 BOLSA STAND UP POUCH CIERRE TRANSPARENTE 140 GR,FULL,1,PAQUETE,MERCADO_LIBRE,
1007-BS,BOLSA STAND UP POUCH CIERRE PAPEL BLANCO - VENTANA 250 GR,INV PSD,1500,PIEZA,PSD_CAT,EST.C.05.A
1007-BS-PQ100,1007-BS-PQ100 Bolsa stand up pouch cierre blanco mate con ventana 250 gr,FULL,12,PAQUETE,MERCADO_LIBRE,
1007-BS-PQ100,1007-BS-PQ100 Bolsa stand up pouch cierre blanco mate con ventana 250 gr,PRIME,6,PAQUETE,AMAZON,
100896153,JABON SOFT CARE BASIC 20L,INV MTY,1,PIEZA,LOGISTORAGE_MTY,DISPONIBLE...
1009-BS,BOLSA STAND UP POUCH LAMINADA CIERRE BLANCO MATE 40 GR,INV PSD,3000,PIEZA,PSD_CAT,EST.E.08.C
1009-BS-PQ100,1009-BS-PQ100 Bolsa stand up pouch cierre blanco mate 40 gramos,FULL,20,PAQUETE,MERCADO_LIBRE,
1009-BS-PQ100,1009-BS-PQ100 Bolsa stand up pouch cierre blanco mate 40 gramos,INV PSD,4,PAQUETE,PSD_CAT,EST.F.02.B
1009-BS-PQ100,1009-BS-PQ100 Bolsa stand up pouch cierre blanco mate 40 gramos,PRIME,14,PAQUETE,AMAZON,
101103937,VIREX II 256 DESINFECTANTE 5 LITROS,INV CAT,24,PIEZA,DHL_CAT,1.E.0.4B
101103937,VIREX II 256 DESINFECTANTE 5 LITROS,INV MTY,1,PIEZA,LOGISTORAGE_MTY,DISPONIBLE...
1047-001-PQ02,1047-001-PQ02 GUANTE DOBLE RESISTENCIA TALLA 7,INV PSD,14,PAQUETE,PSD_CAT,EST.G.05.C
1047-001-PQ05,1047-001-PQ05 GUANTE DOBLE RESISTENCIA TALLA 7,INV PSD,1,PAQUETE,PSD_CAT,EST.B.02.C
1047-001-PQ10,1047-001-PQ10 GUANTE DOBLE RESISTENCIA TALLA 7,INV PSD,1,PAQUETE,PSD_CAT,EST.F.02.B
10X12X16,CAJA 01 25.40 X 30.48 X 40.64,INV CAT,225,PIEZA,DHL_CAT,3.L.2.3
10X12X16,CAJA 01 25.40 X 30.48 X 40.64,INV CAT,250,PIEZA,DHL_CAT,4.L.2.6
10X12X16,CAJA 01 25.40 X 30.48 X 40.64,INV PSD,200,PIEZA,PSD_CAT,4.G.0.5
10X12X16,CAJA 01 25.40 X 30.48 X 40.64,INV PSD,250,PIEZA,PSD_CAT,4.G.0.6
10X12X16,CAJA 01 25.40 X 30.48 X 40.64,INV PSD,250,PIEZA,PSD_CAT,4.G.0.9
10X12X16,CAJA 01 25.40 X 30.48 X 40.64,INV PSD,118,PIEZA,PSD_CAT,STGR...
10X12X16-PQ25,10X12X16-PQ25 CAJA 10 x 12 x 16,INV PSD,3,PAQUETE,PSD_CAT,PS.L.05.
